Wk,Date,Rk,School,Prev,Chng,Conf
18,Final,1,North Carolina State* RTFN,1,NC,ACC
18,Final,2,UCLA* RF,2,NC,Pac-8
18,Final,3,Marquette* F,3,NC,Ind
18,Final,4,Maryland,4,NC,ACC
18,Final,5,Notre Dame* R,5,NC,Ind
18,Final,6,Michigan* R,7,1,Big Ten
18,Final,7,Kansas* RF,6,1,Big 8
18,Final,8,Providence*,8,NC,Ind
18,Final,9,Indiana R,11,2,Big Ten
18,Final,10,Long Beach State R,9,1,PCAA
18,Final,11,Purdue,18,7,Big Ten
18,Final,12,North Carolina,10,2,ACC
18,Final,13,Vanderbilt* R,11,2,SEC
18,Final,14,Alabama R,13,1,SEC
18,Final,15,Utah,,,WAC
18,Final,16,Pittsburgh*,15,1,Ind
18,Final,17,Southern California,14,3,Pac-8
18,Final,18,Oral Roberts*,18,NC,Ind
18,Final,19,South Carolina*,17,2,Ind
18,Final,20,Dayton*,16,4,Ind
Wk,Date,Rk,School,Prev,Chng,Conf
17,1974-03-19,1,North Carolina State* RTFN,1,NC,ACC
17,1974-03-19,2,UCLA* RF,2,NC,Pac-8
17,1974-03-19,3,Marquette* F,7,4,Ind
17,1974-03-19,4,Maryland,4,NC,ACC
17,1974-03-19,5,Notre Dame* R,3,2,Ind
17,1974-03-19,6,Kansas* RF,14,8,Big 8
17,1974-03-19,7,Michigan* R,12,5,Big Ten
17,1974-03-19,8,Providence*,5,3,Ind
17,1974-03-19,9,Long Beach State R,9,NC,PCAA
17,1974-03-19,10,North Carolina,8,2,ACC
17,1974-03-19,11,Indiana R,10,1,Big Ten
17,1974-03-19,11,Vanderbilt* R,6,5,SEC
17,1974-03-19,13,Alabama R,11,2,SEC
17,1974-03-19,14,Southern California,15,1,Pac-8
17,1974-03-19,15,Pittsburgh*,13,2,Ind
17,1974-03-19,16,Dayton*,20,4,Ind
17,1974-03-19,17,South Carolina*,18,1,Ind
17,1974-03-19,18,Oral Roberts*,,,Ind
17,1974-03-19,18,Purdue,,,Big Ten
17,1974-03-19,20,New Mexico* R,17,3,WAC
Wk,Date,Rk,School,Prev,Chng,Conf
16,1974-03-12,1,North Carolina State* RTFN,1,NC,ACC
16,1974-03-12,2,UCLA* RF,3,1,Pac-8
16,1974-03-12,3,Notre Dame* R,2,1,Ind
16,1974-03-12,4,Maryland,4,NC,ACC
16,1974-03-12,5,Providence*,8,3,Ind
16,1974-03-12,6,Vanderbilt* R,5,1,SEC
16,1974-03-12,7,Marquette* F,11,4,Ind
16,1974-03-12,8,North Carolina,6,2,ACC
16,1974-03-12,9,Long Beach State R,9,NC,PCAA
16,1974-03-12,10,Indiana R,13,3,Big Ten
16,1974-03-12,11,Alabama R,12,1,SEC
16,1974-03-12,12,Michigan* R,16,4,Big Ten
16,1974-03-12,13,Pittsburgh*,14,1,Ind
16,1974-03-12,14,Kansas* RF,15,1,Big 8
16,1974-03-12,15,Southern California,7,8,Pac-8
16,1974-03-12,16,Louisville* R,18,2,MVC
16,1974-03-12,17,New Mexico* R,17,NC,WAC
16,1974-03-12,18,South Carolina*,10,8,Ind
16,1974-03-12,19,Creighton*,19,NC,Ind
16,1974-03-12,20,Dayton*,,,Ind
Wk,Date,Rk,School,Prev,Chng,Conf
15,1974-03-05,1,North Carolina State* RTFN,1,NC,ACC
15,1974-03-05,2,Notre Dame* R,2,NC,Ind
15,1974-03-05,3,UCLA* RF,3,NC,Pac-8
15,1974-03-05,4,Maryland,5,1,ACC
15,1974-03-05,5,Vanderbilt* R,6,1,SEC
15,1974-03-05,6,North Carolina,4,2,ACC
15,1974-03-05,7,Southern California,10,3,Pac-8
15,1974-03-05,8,Providence*,12,4,Ind
15,1974-03-05,9,Long Beach State R,13,4,PCAA
15,1974-03-05,10,South Carolina*,14,4,Ind
15,1974-03-05,11,Marquette* F,8,3,Ind
15,1974-03-05,12,Alabama R,7,5,SEC
15,1974-03-05,13,Indiana R,9,4,Big Ten
15,1974-03-05,14,Pittsburgh*,11,3,Ind
15,1974-03-05,15,Kansas* RF,15,NC,Big 8
15,1974-03-05,16,Michigan* R,17,1,Big Ten
15,1974-03-05,17,New Mexico* R,19,2,WAC
15,1974-03-05,18,Louisville* R,20,2,MVC
15,1974-03-05,19,Creighton*,16,3,Ind
15,1974-03-05,20,Oral Roberts*,,,Ind
Wk,Date,Rk,School,Prev,Chng,Conf
14,1974-02-26,1,North Carolina State* RTFN,1,NC,ACC
14,1974-02-26,2,Notre Dame* R,2,NC,Ind
14,1974-02-26,3,UCLA* RF,3,NC,Pac-8
14,1974-02-26,4,North Carolina,6,2,ACC
14,1974-02-26,5,Maryland,5,NC,ACC
14,1974-02-26,6,Vanderbilt* R,4,2,SEC
14,1974-02-26,7,Alabama R,8,1,SEC
