Wk,Date,Rk,School,Prev,Chng,Conf
20,Postseason,1,Duke* RTFN,3,2,ACC
20,Postseason,2,Butler* RTF,8,6,Horizon
20,Postseason,3,West Virginia* TF,5,2,Big East
20,Postseason,4,Michigan State* RF,12,8,Big Ten
20,Postseason,5,Kentucky* RT,2,3,SEC
20,Postseason,6,Kansas* RT,1,5,Big 12
20,Postseason,7,Kansas State*,7,NC,Big 12
20,Postseason,8,Syracuse* R,4,4,Big East
20,Postseason,9,Tennessee*,14,5,SEC
20,Postseason,10,Baylor*,21,11,Big 12
20,Postseason,11,Ohio State* RT,6,5,Big Ten
20,Postseason,12,Purdue* R,11,1,Big Ten
20,Postseason,13,Northern Iowa* RT,24,11,MVC
20,Postseason,14,Xavier* R,,,A-10
20,Postseason,15,Villanova*,9,6,Big East
20,Postseason,16,New Mexico* R,10,6,MWC
20,Postseason,17,Cornell* R,,,Ivy
20,Postseason,18,Maryland* R,20,2,ACC
20,Postseason,19,Saint Mary's (CA)* T,,,WCC
20,Postseason,20,Pittsburgh*,16,4,Big East
20,Postseason,21,Washington* T,,,Pac-10
20,Postseason,22,Brigham Young*,16,6,MWC
20,Postseason,23,Gonzaga* R,18,5,WCC
20,Postseason,24,Wisconsin*,19,5,Big Ten
20,Postseason,25,Texas A&M*,23,2,Big 12
Wk,Date,Rk,School,Prev,Chng,Conf
19,Final,1,Kansas* RT,1,NC,Big 12
19,Final,2,Kentucky* RT,2,NC,SEC
19,Final,3,Duke* RTFN,4,1,ACC
19,Final,4,Syracuse* R,3,1,Big East
19,Final,5,West Virginia* TF,6,1,Big East
19,Final,6,Ohio State* RT,7,1,Big Ten
19,Final,7,Kansas State*,9,2,Big 12
19,Final,8,Butler* RTF,12,4,Horizon
19,Final,9,Villanova*,10,1,Big East
19,Final,10,New Mexico* R,8,2,MWC
19,Final,11,Purdue* R,5,6,Big Ten
19,Final,12,Michigan State* RF,11,1,Big Ten
19,Final,13,Temple* RT,17,4,A-10
19,Final,14,Tennessee*,13,1,SEC
19,Final,15,Georgetown*,22,7,Big East
19,Final,16,Pittsburgh*,16,NC,Big East
19,Final,16,Brigham Young*,15,1,MWC
19,Final,18,Gonzaga* R,14,4,WCC
19,Final,19,Wisconsin*,18,1,Big Ten
19,Final,20,Maryland* R,19,1,ACC
19,Final,21,Baylor*,20,1,Big 12
19,Final,22,Vanderbilt*,23,1,SEC
19,Final,23,Texas A&M*,24,1,Big 12
19,Final,24,Northern Iowa* RT,25,1,MVC
19,Final,25,Texas-El Paso* R,21,4,CUSA
Wk,Date,Rk,School,Prev,Chng,Conf
18,2010-03-08,1,Kansas* RT,2,1,Big 12
18,2010-03-08,2,Kentucky* RT,3,1,SEC
18,2010-03-08,3,Syracuse* R,1,2,Big East
18,2010-03-08,4,Duke* RTFN,4,NC,ACC
18,2010-03-08,5,Purdue* R,6,1,Big Ten
18,2010-03-08,6,West Virginia* TF,8,2,Big East
18,2010-03-08,7,Ohio State* RT,7,NC,Big Ten
18,2010-03-08,8,New Mexico* R,10,2,MWC
18,2010-03-08,9,Kansas State*,5,4,Big 12
18,2010-03-08,10,Villanova*,9,1,Big East
18,2010-03-08,11,Michigan State* RF,12,1,Big Ten
18,2010-03-08,12,Butler* RTF,11,1,Horizon
18,2010-03-08,13,Tennessee*,13,NC,SEC
18,2010-03-08,14,Gonzaga* R,14,NC,WCC
18,2010-03-08,15,Brigham Young*,15,NC,MWC
18,2010-03-08,16,Pittsburgh*,18,2,Big East
18,2010-03-08,17,Temple* RT,16,1,A-10
18,2010-03-08,18,Wisconsin*,17,1,Big Ten
18,2010-03-08,19,Maryland* R,23,4,ACC
18,2010-03-08,20,Baylor*,22,2,Big 12
18,2010-03-08,21,Texas-El Paso* R,21,NC,CUSA
18,2010-03-08,22,Georgetown*,20,2,Big East
18,2010-03-08,23,Vanderbilt*,19,4,SEC
18,2010-03-08,24,Texas A&M*,24,NC,Big 12
18,2010-03-08,25,Northern Iowa* RT,,,MVC
Wk,Date,Rk,School,Prev,Chng,Conf
17,2010-03-01,1,Syracuse* R,4,3,Big East
17,2010-03-01,2,Kansas* RT,1,1,Big 12
17,2010-03-01,3,Kentucky* RT,2,1,SEC
17,2010-03-01,4,Duke* RTFN,5,1,ACC
17,2010-03-01,5,Kansas State*,6,1,Big 12
17,2010-03-01,6,Purdue* R,3,3,Big Ten
17,2010-03-01,7,Ohio State* RT,9,2,Big Ten
17,2010-03-01,8,West Virginia* TF,7,1,Big East
17,2010-03-01,9,Villanova*,8,1,Big East
17,2010-03-01,10,New Mexico* R,12,2,MWC
17,2010-03-01,11,Butler* RTF,10,1,Horizon
17,2010-03-01,12,Michigan State* RF,14,2,Big Ten
17,2010-03-01,13,Tennessee*,17,4,SEC
17,2010-03-01,14,Gonzaga* R,15,1,WCC
17,2010-03-01,15,Brigham Young*,11,4,MWC
17,2010-03-01,16,Temple* RT,18,2,A-10
17,2010-03-01,17,Wisconsin*,19,2,Big Ten
17,2010-03-01,18,Pittsburgh*,16,2,Big East
17,2010-03-01,19,Vanderbilt*,20,1,SEC
17,2010-03-01,20,Georgetown*,13,7,Big East
17,2010-03-01,21,Texas-El Paso* R,25,4,CUSA
17,2010-03-01,22,Baylor*,,,Big 12
17,2010-03-01,23,Maryland* R,,,ACC
17,2010-03-01,24,Texas A&M*,23,1,Big 12
17,2010-03-01,25,Texas*,21,4,Big 12
Wk,Date,Rk,School,Prev,Chng,Conf
16,2010-02-22,1,Kansas* RT,1,NC,Big 12
16,2010-02-22,2,Kentucky* RT,2,NC,SEC
16,2010-02-22,3,Purdue* R,4,1,Big Ten
16,2010-02-22,4,Syracuse* R,5,1,Big East
16,2010-02-22,5,Duke* RTFN,6,1,ACC
16,2010-02-22,6,Kansas State*,7,1,Big 12
16,2010-02-22,7,West Virginia* TF,8,1,Big East
16,2010-02-22,8,Villanova*,3,5,Big East
16,2010-02-22,9,Ohio State* RT,12,3,Big Ten
16,2010-02-22,10,Butler* RTF,13,3,Horizon
16,2010-02-22,11,Brigham Young*,14,3,MWC
16,2010-02-22,12,New Mexico* R,15,3,MWC
16,2010-02-22,13,Georgetown*,10,3,Big East
16,2010-02-22,14,Michigan State* RF,11,3,Big Ten
16,2010-02-22,15,Gonzaga* R,9,6,WCC
16,2010-02-22,16,Pittsburgh*,21,5,Big East
16,2010-02-22,17,Tennessee*,18,1,SEC
16,2010-02-22,18,Temple* RT,20,2,A-10
16,2010-02-22,19,Wisconsin*,16,3,Big Ten
16,2010-02-22,20,Vanderbilt*,19,1,SEC
16,2010-02-22,21,Texas*,17,4,Big 12
16,2010-02-22,22,Northern Iowa* RT,24,2,MVC
16,2010-02-22,23,Texas A&M*,23,NC,Big 12
16,2010-02-22,24,Richmond*,,,A-10
16,2010-02-22,25,Texas-El Paso* R,,,CUSA
Wk,Date,Rk,School,Prev,Chng,Conf
15,2010-02-15,1,Kansas* RT,1,NC,Big 12
15,2010-02-15,2,Kentucky* RT,2,NC,SEC
15,2010-02-15,3,Villanova*,5,2,Big East
15,2010-02-15,4,Purdue* R,6,2,Big Ten
15,2010-02-15,5,Syracuse* R,3,2,Big East
15,2010-02-15,6,Duke* RTFN,7,1,ACC
15,2010-02-15,7,Kansas State*,9,2,Big 12
15,2010-02-15,8,West Virginia* TF,4,4,Big East
15,2010-02-15,9,Gonzaga* R,11,2,WCC
15,2010-02-15,10,Georgetown*,8,2,Big East
15,2010-02-15,11,Michigan State* RF,10,1,Big Ten
15,2010-02-15,12,Ohio State* RT,16,4,Big Ten
15,2010-02-15,13,Butler* RTF,15,2,Horizon
15,2010-02-15,14,Brigham Young*,17,3,MWC
15,2010-02-15,15,New Mexico* R,19,4,MWC
15,2010-02-15,16,Wisconsin*,13,3,Big Ten
15,2010-02-15,17,Texas*,14,3,Big 12
15,2010-02-15,18,Tennessee*,12,6,SEC
15,2010-02-15,19,Vanderbilt*,24,5,SEC
15,2010-02-15,20,Temple* RT,21,1,A-10
15,2010-02-15,21,Pittsburgh*,23,2,Big East
15,2010-02-15,22,Baylor*,,,Big 12
15,2010-02-15,23,Texas A&M*,,,Big 12
15,2010-02-15,24,Northern Iowa* RT,18,6,MVC
15,2010-02-15,25,Wake Forest*,,,ACC
Wk,Date,Rk,School,Prev,Chng,Conf
14,2010-02-08,1,Kansas* RT,1,NC,Big 12
14,2010-02-08,2,Kentucky* RT,3,1,SEC
14,2010-02-08,3,Syracuse* R,4,1,Big East
14,2010-02-08,4,West Virginia* TF,6,2,Big East
14,2010-02-08,5,Villanova*,2,3,Big East
14,2010-02-08,6,Purdue* R,7,1,Big Ten
14,2010-02-08,7,Duke* RTFN,9,2,ACC
14,2010-02-08,8,Georgetown*,8,NC,Big East
14,2010-02-08,9,Kansas State*,11,2,Big 12
14,2010-02-08,10,Michigan State* RF,5,5,Big Ten
14,2010-02-08,11,Gonzaga* R,13,2,WCC
14,2010-02-08,12,Tennessee*,14,2,SEC
14,2010-02-08,13,Wisconsin*,16,3,Big Ten
14,2010-02-08,14,Texas*,10,4,Big 12
14,2010-02-08,15,Butler* RTF,15,NC,Horizon
14,2010-02-08,16,Ohio State* RT,18,2,Big Ten
14,2010-02-08,17,Brigham Young*,12,5,MWC
14,2010-02-08,18,Northern Iowa* RT,22,4,MVC
14,2010-02-08,19,New Mexico* R,23,4,MWC
14,2010-02-08,20,Georgia Tech*,19,1,ACC
14,2010-02-08,21,Temple* RT,17,4,A-10
14,2010-02-08,22,Cornell* R,25,3,Ivy
14,2010-02-08,23,Pittsburgh*,21,2,Big East
14,2010-02-08,24,Vanderbilt*,20,4,SEC
14,2010-02-08,25,Nevada-Las Vegas*,,,MWC
Wk,Date,Rk,School,Prev,Chng,Conf
13,2010-02-01,1,Kansas* RT,2,1,Big 12
13,2010-02-01,2,Villanova*,3,1,Big East
13,2010-02-01,3,Kentucky* RT,1,2,SEC
13,2010-02-01,4,Syracuse* R,4,NC,Big East
13,2010-02-01,5,Michigan State* RF,5,NC,Big Ten
13,2010-02-01,6,West Virginia* TF,9,3,Big East
13,2010-02-01,7,Purdue* R,12,5,Big Ten
13,2010-02-01,8,Georgetown*,11,3,Big East
13,2010-02-01,9,Duke* RTFN,7,2,ACC
13,2010-02-01,10,Texas*,6,4,Big 12
13,2010-02-01,11,Kansas State*,13,2,Big 12
13,2010-02-01,12,Brigham Young*,10,2,MWC
13,2010-02-01,13,Gonzaga* R,8,5,WCC
13,2010-02-01,14,Tennessee*,14,NC,SEC
13,2010-02-01,15,Butler* RTF,18,3,Horizon
13,2010-02-01,16,Wisconsin*,16,NC,Big Ten
13,2010-02-01,17,Temple* RT,15,2,A-10
13,2010-02-01,18,Ohio State* RT,24,6,Big Ten
13,2010-02-01,19,Georgia Tech*,22,3,ACC
13,2010-02-01,20,Vanderbilt*,23,3,SEC
13,2010-02-01,21,Pittsburgh*,17,4,Big East
13,2010-02-01,22,Northern Iowa* RT,25,3,MVC
13,2010-02-01,23,New Mexico* R,,,MWC
13,2010-02-01,24,Baylor*,,,Big 12
13,2010-02-01,25,Cornell* R,,,Ivy
Wk,Date,Rk,School,Prev,Chng,Conf
12,2010-01-25,1,Kentucky* RT,2,1,SEC
12,2010-01-25,2,Kansas* RT,3,1,Big 12
12,2010-01-25,3,Villanova*,4,1,Big East
12,2010-01-25,4,Syracuse* R,5,1,Big East
12,2010-01-25,5,Michigan State* RF,7,2,Big Ten
12,2010-01-25,6,Texas*,1,5,Big 12
12,2010-01-25,7,Duke* RTFN,6,1,ACC
12,2010-01-25,8,Gonzaga* R,10,2,WCC
12,2010-01-25,9,West Virginia* TF,12,3,Big East
12,2010-01-25,10,Brigham Young*,13,3,MWC
12,2010-01-25,11,Georgetown*,14,3,Big East
12,2010-01-25,12,Purdue* R,15,3,Big Ten
12,2010-01-25,13,Kansas State*,9,4,Big 12
12,2010-01-25,14,Tennessee*,8,6,SEC
12,2010-01-25,15,Temple* RT,17,2,A-10
12,2010-01-25,16,Wisconsin*,19,3,Big Ten
